Clade	FractionZero	FractionZeroNG	Ali_Length	N_HV_Sites
Int10172_376_423_L_90	0.134982332155477	0.703180212014134	1415	1
Int10172_376_423_R_43	0.414742451154529	0.682948490230906	1126	0
Int10172_376_424_R_11	0.594746716697936	0.889305816135084	1066	0
Int10172_376_435_R_60	0.27737881508079	0.854578096947935	1114	0
Int10172_376_495_R_128	0.0691676436107855	0.446072684642438	1706	72
Int10172_376_624_R_44	0.540868454661558	0.956577266922095	1566	1
Int10547_34_50_L_17	0.71875	0.96875	544	0
Int10547_34_50_R_17	0.542857142857143	0.977380952380952	840	0
Int10637_304_324_L_31	0.200701754385965	0.75859649122807	1425	0
Int10637_304_324_R_203	0.0130948205308079	0.769086870104057	8553	237
Int10637_304_326_R_37	0.546245059288538	0.868774703557312	1265	1
Int10637_304_362_R_19	0.215954875100725	0.874294923448832	1241	1
Int10637_304_546_R_11	0.185703758290346	0.888725128960943	1357	0
Int11061_33_35_L_29	0.504746835443038	0.892405063291139	632	0
Int11061_33_35_R_4	0.919254658385093	0.976190476190476	966	0
Int11093_76_90_L_19	0.500813008130081	0.903252032520325	1230	0
Int11093_76_91_R_54	0.761658031088083	0.911917098445596	1158	0
Int11170_39_55_L_37	0.417422867513612	0.791288566243194	1102	4
Int11247_267_325_L_64	0.260524225575854	0.812549642573471	1259	0
Int11247_267_326_R_108	0.0791106514994829	0.569803516028956	1934	73
Int11247_267_434_R_35	0.248440158820193	0.747022121384005	1763	17
Int11247_267_468_R_60	0.393963463065925	0.80460683081811	1259	0
Int11547_65_120_L_59	0.663451232583065	0.915326902465166	933	0
Int11547_65_120_R_6	0.912707182320442	0.974585635359116	905	0
Int11614_14_9_L_13	0.51526125193999	0.902741852043456	1933	0
Int11629_24_35_L_12	0.494756323257249	0.927205428747687	1621	0
Int11629_24_36_R_11	0.479938271604938	0.975308641975309	648	0
Int11708_423_513_L_319	0.0116925436074372	0.686984857197623	5217	203
Int11708_423_515_R_4	0.39747064137308	0.839205058717254	1107	21
Int11708_423_520_R_59	0.146019783325483	0.927461139896373	2123	1
Int11708_423_785_R_29	0.164818920916482	0.73540280857354	1353	1
Int11708_423_813_R_9	0.483221476510067	0.884563758389262	1490	4
Int12194_239_292_L_69	0.325958702064897	0.656342182890855	1356	57
Int12194_239_292_R_56	0.279084551811825	0.768595041322314	1573	7
Int12194_239_349_R_60	0.198062432723358	0.631862217438105	1858	70
Int12194_239_408_R_54	0.435869565217391	0.933695652173913	920	0
Int12432_284_326_L_52	0.193110140708394	0.940805434255216	2061	0
Int12432_284_331_R_27	0.407471763683753	0.874022589052997	1151	1
Int12432_284_358_R_53	0.382079459002536	0.841081994928149	1183	0
Int12432_284_410_R_59	0.292144748455428	0.744924977934687	1133	29
Int12432_284_469_R_57	0.333943275388838	0.845379688929552	1093	0
Int12432_284_525_R_33	0.45764192139738	0.825327510917031	1145	0
Int12730_93_110_L_63	0.351373182552504	0.88610662358643	1238	0
Int12730_93_111_R_29	0.557221783741121	0.867403314917127	1267	1
Int12855_119_137_R_21	0.248009797917942	0.952847519902021	1633	0
Int12855_119_157_L_37	0.578616352201258	0.954088050314465	1590	0
Int12855_119_157_R_61	0.602722772277228	0.920173267326733	1616	0
Int12974_336_352_L_58	0.556316590563166	0.840943683409437	1314	0
Int12974_336_353_R_17	0.437618746041799	0.925902469917669	1579	1
Int12974_336_374_R_14	0.83180987202925	0.957952468007313	1094	0
Int12974_336_387_R_6	0.828524319868096	0.965375103050289	1213	0
Int12974_336_392_R_32	0.640823743185948	0.901271956390067	1651	0
Int12974_336_426_R_8	0.759065765212047	0.987092808850645	1627	0
Int12974_336_433_R_14	0.467081389320892	0.899948159668222	1929	0
Int12974_336_448_R_60	0.254237288135593	0.899608865710561	1534	0
Int12974_336_507_R_56	0.797833935018051	0.937906137184116	1385	1
Int12974_336_563_R_5	0.789868667917448	0.99343339587242	1066	0
Int12974_336_567_R_57	0.587044534412955	0.889338731443995	741	0
Int12974_336_623_R_7	0.330399061032864	0.970070422535211	1704	0
Int13311_83_102_R_19	0.82962962962963	0.957037037037037	1350	0
Int13311_83_120_L_43	0.676140613313388	0.816753926701571	1337	2
Int13311_83_120_R_21	0.308125502815768	0.849557522123894	1243	1
Int13511_119_124_L_61	0.471039182282794	0.909710391822828	1174	0
Int13511_119_125_R_57	0.649525316455696	0.947784810126582	1264	0
Int13629_56_82_L_26	0.748576078112286	0.952807160292921	1229	0
Int13629_56_82_R_30	0.393774319066148	0.903501945525292	1285	0
Int13684_55_74_L_23	0.761942675159236	0.856687898089172	1256	1
Int13684_55_74_R_32	0.822503961965135	0.949286846275753	1262	0
Int13739_48_54_L_9	0.775100401606426	0.861044176706827	1245	0
Int13739_48_54_R_39	0.303586321934946	0.864053377814846	1199	1
Int14006_29_44_L_19	0.965371621621622	0.981418918918919	1184	0
Int14006_29_44_R_10	0.825345247766044	0.966693744922827	1231	0
Int14052_123_185_L_62	0.451276102088167	0.915313225058005	862	0
Int14052_123_185_R_61	0.362385321100917	0.909403669724771	872	0
Int14174_152_193_L_60	0.584841628959276	0.969457013574661	884	0
Int14174_152_193_R_60	0.824907521578298	0.950678175092478	811	0
Int14174_152_254_R_24	0.481540930979133	0.980738362760835	623	0
Int14174_152_277_R_8	0.545568039950062	0.962546816479401	801	0
Int14387_212_251_L_60	0.484061393152302	0.854781582054309	847	0
Int14387_212_253_R_34	0.406103286384977	0.897887323943662	852	0
Int14387_212_286_R_29	0.294724770642202	0.834862385321101	872	0
Int14387_212_315_R_29	0.812135355892649	0.928821470245041	857	0
Int14387_212_343_R_44	0.409457900807382	0.73356401384083	867	48
Int14387_212_344_R_16	0.962040332147094	0.965599051008304	843	0
Int14642_297_350_L_58	0.167906482465462	0.868225292242295	941	0
Int14642_297_350_R_17	0.496132596685083	0.972375690607735	905	0
Int14642_297_369_R_46	0.521546961325967	0.924861878453039	905	0
Int14642_297_414_R_121	0.101163831692032	0.587287376902417	1117	32
Int14642_297_534_R_55	0.327850877192982	0.941885964912281	912	0
Int14939_40_64_L_31	0.242570281124498	0.672289156626506	1245	12
Int14939_40_64_R_9	0.848017621145374	0.907488986784141	908	0
Int14979_63_105_L_46	0.229455709711846	0.844183564567769	937	0
Int14979_63_106_R_16	0.431884057971014	0.94975845410628	1035	1
Int15041_179_255_R_34	0.312567132116004	0.87540279269602606	931	0
Int15041_179_288_R_23	0.726373626373626	0.875824175824176	910	0
Int15041_179_310_L_75	0.101423487544484	0.579478054567023	1686	73
Int15041_179_310_R_37	0.146637265711136	0.727673649393605	907	8
Int15041_179_346_R_4	0.903225806451613	0.987096774193548	930	0
Int15041_179_350_R_4	0.964091403699674	0.965179542981502	919	0
Int15268_115_157_L_57	0.399438727782975	0.938260056127222	1069	0
Int15268_115_157_R_58	0.542976939203354	0.916841369671558	1431	0
Int7764_78_107_L_57	0.299072642967542	0.941267387944359	1294	2
Int7764_78_107_R_21	0.947309417040359	0.975336322869955	892	0
Int7765_208_251_L_43	0.211466165413534	0.818609022556391	1064	1
Int7765_208_252_R_6	0.463065049614112	0.981256890848953	907	0
Int7765_208_260_R_5	0.974157303370787	0.982022471910112	890	0
Int7765_208_266_R_9	0.679398148148148	0.936342592592593	864	0
Int7765_208_274_R_142	0.0904302019315189	0.450395083406497	1139	61
Int7973_410_444_L_50	0.447396386822529	0.826780021253985	941	0
Int7973_410_445_R_57	0.725925925925926	0.947089947089947	945	0
Int7973_410_504_R_207	0.0597797587834295	0.552176192973256	1907	66
Int7973_410_712_R_35	0.328976034858388	0.904139433551198	918	0
Int7973_410_746_R_58	0.256410256410256	0.865105908584169	897	0
Int8443_258_293_R_59	0.136652542372881	0.834745762711864	944	0
Int8443_258_351_L_88	0.229143492769744	0.568409343715239	899	29
Int8443_258_352_R_4	0.99639855942377	0.99639855942377	833	0
Int8443_258_356_R_4	0.911032028469751	0.99288256227758	843	0
Int8443_258_360_R_43	0.459954233409611	0.901601830663616	874	0
Int8443_258_403_R_45	0.611494252873563	0.945977011494253	870	0
Int8443_258_447_R_7	0.930669800235018	0.99529964747356	851	0
Int8443_258_453_R_8	0.992990654205608	0.992990654205608	856	0
Int8760_26_29_L_4	0.813636363636364	0.993181818181818	880	0
Int8760_26_29_R_22	0.818181818181818	0.905956112852665	957	0
Int8908_92_112_L_24	0.504568527918782	0.969543147208122	985	0
Int8908_92_114_R_28	0.85877466251298	0.947040498442368	963	0
Int8908_92_141_R_29	0.703140830800405	0.944275582573455	987	0
