Clade	FractionZero	FractionZeroNG	Ali_Length	N_HV_Sites
Int10172_376	0.0276898734177215	0.130537974683544	1264	283
Int10547_34	0.343859649122807	0.66140350877193	570	0
Int10580_55	0.28175313059034	0.75134168157424	1118	11
Int10637_304	0.0315855969677827	0.13076437144662	1583	324
Int10942_60	0.618055555555556	0.888888888888889	1008	0
Int11003_58	0.276422764227642	0.91869918699187	1230	0
Int11061_33	0.229074889867841	0.687224669603524	908	0
Int11093_76	0.220672682526661	0.509433962264151	1219	5
Int11170_39	0.240556660039761	0.506958250497018	1006	4
Int11208_40	0.51877133105802	0.873720136518771	1172	0
Int11247_267	0.0766798418972332	0.230830039525692	1265	132
Int11514_34	0.932051282051282	0.964102564102564	780	0
Int11547_65	0.508830022075055	0.730684326710817	906	0
Int11614_14	0.102231447846393	0.78463933575506	1927	0
Int11629_24	0.0778405524168236	0.64030131826742	1593	4
Int11653_56	0.591406908171862	0.89469250210615	1187	0
Int11708_423	0.0179930795847751	0.105190311418685	1445	211
Int12133_61	0.256430868167203	0.67604501607717	1244	27
Int12194_239	0.0584837545126354	0.250541516245487	1385	279
Int12432_284	0.0704225352112676	0.205985915492958	1136	168
Int12715_16	0.22022022022022	0.877877877877878	999	0
Int12730_93	0.146176911544228	0.421289355322339	1334	3
Int12822_34	0.326883910386965	0.923625254582485	982	0
Int12855_119	0.101990049751244	0.584577114427861	1608	5
Int12974_336	0.0131302521008403	0.0929621848739496	1904	526
Int13311_83	0.141916605705925	0.466715435259693	1367	63
Int13393_57	0.703614457831325	0.830522088353414	1245	0
Int13455_56	0.469820554649266	0.901305057096248	1226	0
Int13511_119	0.186839967506093	0.544272948822096	1231	8
Int13629_56	0.252223120452708	0.67502021018593406	1237	5
Int13684_55	0.464630225080386	0.582797427652733	1244	9
Int13739_48	0.177041228779305	0.605497170573969	1237	3
Int13787_62	0.286776859504132	0.690909090909091	1210	2
Int13848_61	0.279143536875496	0.766058683584457	1261	0
Int13909_42	0.400862068965517	0.788793103448276	1160	0
Int13950_57	0.654098360655738	0.892622950819672	1220	0
Int14006_29	0.391794046661303	0.523732904263878	1243	1
Int14034_18	0.79520697167756	0.93681917211329	1377	0
Int14052_123	0.188940092165899	0.623271889400922	868	0
Int14174_152	0.123353293413174	0.432335329341317	835	21
Int14328_59	0.503521126760563	0.934272300469484	852	0
Int14387_212	0.068259385665529	0.29806598407281	879	102
Int14599_43	0.368477103301384	0.893503727369542	939	0
Int14642_297	0.0495689655172414	0.308189655172414	928	93
Int14939_40	0.292896174863388	0.53879781420765	915	30
Int14979_63	0.138477801268499	0.480972515856237	946	3
Int15041_179	0.0434042553191489	0.204255319148936	1175	185
Int15219_50	0.419006479481641	0.904967602591793	926	0
Int15268_115	0.0486968449931413	0.506858710562414	1458	1
Int7764_78	0.285714285714286	0.586466165413534	931	1
Int7765_208	0.0539053905390539	0.173817381738174	909	113
Int7973_410	0.027972027972028	0.116883116883117	1001	218
Int8384_60	0.477869467366842	0.768192048012003	1333	1
Int8443_258	0.0310344827586207	0.198850574712644	870	107
Int8701_58	0.781144781144781	0.911335578002245	891	0
Int8760_26	0.427394438722966	0.617919670442842	971	1
Int8786_59	0.607354685646501	0.937129300118624	843	0
Int8845_63	0.445544554455446	0.893289328932893	909	0
Int8908_92	0.156530408773679	0.347956131605184	1003	193
Int9000_84	0.0738461538461539	0.335384615384615	1300	48
Int9086_14	0.841309823677582	0.985726280436608	1191	0
Int9102_54	0.552147239263804	0.85659509202454	1304	0
Int9156_236	0.0369181380417336	0.119582664526485	1246	488
Int9399_59	0.342175066312997	0.872679045092838	1131	0
Int9457_231	0.112399643175736	0.271186440677966	1121	200
Int9687_297	0.0475396163469558	0.160133444537114	1199	284
Int9983_190	0.071832122679580293	0.238095238095238	1239	200
