Clade	FractionZero	FractionZeroNG	Ali_Length	N_HV_Sites
Int11409_395_471_R_144_154_R_45_58_L_32	0.194682675814751	0.699828473413379	1166	24
Int11409_395_471_R_144_154_R_45_58_R_13	0.419107391910739	0.957461645746165	1434	0
Int11890_361_504_R_81_86_R_39_54_L_23	0.200353825740823	0.859796550199027	2261	13
Int11890_361_504_R_81_86_R_39_54_R_7	0.476669716376944	0.780420860018298	1093	2
Int11890_361_504_R_81_86_R_39_57_R_9	0.998173515981735	0.998173515981735	1095	0
Int11890_361_628_R_48_55_R_14_19_L_5	0.785840707964602	0.938053097345133	1130	1
Int11890_361_628_R_48_55_R_14_19_R_9	0.0810244121611502	0.981728321102291	6677	0
Int12253_29_38_L_16_28_L_14_19_L_6	0.303917348256565	0.949634093844167	2323	0
Int12253_29_38_L_16_28_L_14_19_R_8	0.169011170872983	0.916632188663633	4834	12
Int7884_206_319_R_57_71_R_33_42_L_7	0.123373373373373	0.964714714714715	3996	0
Int7884_206_319_R_57_71_R_33_42_R_23	0.260839642119752	0.766001376462491	1453	30
Int8559_390_422_L_64_81_L_54_80_L_27	0.309663641217298	0.856914041644421	1873	0
Int8559_390_422_L_64_81_L_54_80_R_27	0	0.972093023255814	3655	0
Int9342_188_247_L_79_91_R_19_23_L_4	0.998138957816377	1	1612	0
Int9342_188_247_L_79_91_R_19_23_R_5	0.8123872519543	0.951894167167769	1663	0
Int9342_188_247_L_79_91_R_19_24_R_5	0.910333048676345	0.992314261315115	1171	0
Int9342_188_247_L_79_91_R_19_34_R_4	0.787956438180653	0.969250480461243	1561	0
Int9555_160_226_L_93_106_L_73_116_L_64	0	0.710743801652893	2057	40
Int9555_160_226_L_93_106_L_73_116_R_9	0.129669386002576	0.98196650923143	2329	0
Int9778_403_509_R_83_122_R_42_49_L_14	0.759756097560976	0.976829268292683	820	0
Int9778_403_509_R_83_122_R_42_49_R_27	0.33212778782399	0.98794454490657	1659	0
