parent	node	branch.length	label	bootstrap	N_tips	mrca_id
12676	12677	0.10359567241989281	Int7764	89	78	7273_T439-R1/131-460|9869_T142_2-R1/156-489
12676	12754	0.0628095310515493	Int7765	54	208	6906_T077-R1/144-477|9545_T391-R1/156-485
12675	12961	0.03809312659445177	Int7973	49	410	9669_T561-R1/153-482|9536_T289-R1/156-488
13370	13371	0.6478447936750056	Int8384	100	60	9554_T259-R1/127-410|6939_T554-R1/158-475
13370	13430	0.21705256760812083	Int8443	99	258	9944_T198-R1/159-461|6899_T245-R1/160-482
12673	13687	0.2232627707538528	Int8701	100	58	7213_T352-R1/155-482|6974_T367-R1/155-482
12671	13744	0.2841189375651222	Int8760	100	26	5784_T568-R1/157-481|7308_T281-R1/177-495
12670	13769	0.6483119195889713	Int8786	100	59	9134_T222-R1/158-481|9557_T276-R1/158-481
12669	13827	0.733075803975854	Int8845	100	63	6906_T439-R1/155-482|9557_T477-R1/155-482
12668	13889	0.5314467416858182	Int8908	100	92	5784_T224-R1/137-457|9583_T344-R1/154-427
12667	13980	1.3448041596152538	Int9000	100	84	9944_T354-R1/12-380|9947_T252-R1/6-347
7702	11403	0.5937912448330238	Int9102	100	54	9869_T220-R1/200-510|9610_T312-R1/195-505
7703	11168	0.3930774756116563	Int9156	100	236	1925_T578-R1/191-449|ATHALIANA_AT5G40100_1/186-444
9899	9900	0.3237257492921535	Int9399	100	59	9545_T110-R1/191-449|7413_T116_1-R1/191-449
9899	9958	0.08258845077777259	Int9457	91	231	9887_T039-R1/187-440|7413_T365-R1/189-449
9898	10188	0.07559751254255156	Int9687	48	297	1925_T402-R1/218-477|9610_T474-R1/185-448
9897	10484	0.1600414804068966	Int9983	100	190	9332_T031-R1/188-449|9669_T060_2-R1/173-429
9896	10673	0.1964009804168787	Int10172	22	376	9837_T124-R1/210-471|10015_T185_2-R1/184-450
9895	11048	0.6305969205017388	Int10547	100	34	9947_T267-R1/181-436|9610_T309-R1/201-453
9894	11081	0.4914058078173164	Int10580	100	55	9654_T264-R1/24-294|9536_T319-R1/187-457
8919	8920	0.34295974702276705	Int10637	100	305	9721_T531-R1/228-478|9837_T017-R1/233-482
9224	9225	0.267985656513108	Int10942	100	60	9332_T364-R1/185-457|9543_T364-R1/70-342
9285	9286	0.27675975647603845	Int11003	100	58	9721_T364-R1/183-440|9610_T325-R1/183-441
9343	9344	0.05602922014442417	Int11061	60	33	7186_T379-R1/186-453|1925_T668-R1/39-309
9343	9376	0.0643514520072295	Int11093	70	76	9944_T024-R1/218-488|9879_T138-R1/186-455
9452	9453	0.354333130111185	Int11170	100	39	5784_T411-R1/180-447|9554_T409-R1/180-442
9452	9491	0.1945511563585351	Int11208	98	40	9332_T144-R1/186-434|9669_T137-R1/186-434
9451	9530	0.10561423511949786	Int11247	97	267	7417_T137-R1/190-461|9549_T089_2-R1/183-452
9796	9797	0.37338008252003113	Int11514	100	34	108_T477-R1/190-462|6924_T407-R1/190-462
9796	9830	0.2893059645818171	Int11547	100	65	10015_T048-R1/186-449|9533_T432-R1/184-447
7712	8137	0.4364703495486345	Int11653	100	56	7373_T217-R1/214-479|9597_T372_2-R1/139-404
7712	7713	0.05756900214885576	Int11708	60	425	5784_T232-R1/243-514|6906_T102-R1/197-472
8215	8216	0.264704956574202	Int12133	100	61	5993_T294-R1/97-362|7167_T430-R1/97-361
8276	8277	0.031133727626198607	Int12194	15	239	9549_T258-R1/272-551|7067_T389-R1/237-509
8276	8515	0.027734983959100633	Int12432	16	284	9721_T130-R1/240-499|9332_T410-R1/208-464
7707	8826	0.26475056267481745	Int12730	100	93	9944_T059-R1/194-468|9669_T075-R1/235-518
7704	11135	0.4517145095925322	Int12822	100	34	7186_T273-R1/186-451|6924_T317-R1/186-434
7701	11456	1.0820136466696746	Int12855	100	119	7415_T108-R1/393-646|9545_T106-R1/376-647
11574	11575	0.45024810394081194	Int12974	99	336	9545_T058-R1/159-407|7417_T098-R1/283-537
11911	11912	0.1606185734017827	Int13311	90	83	9597_T572-R1/321-572|7322_T154-R1/146-408
11911	11994	0.5160374538409007	Int13393	100	57	9871_T070-R1/187-448|6924_T268-R1/187-448
12055	12056	0.4636999890746443	Int13455	100	56	9887_T131-R1/209-518|7111_T554-R1/1-284
12111	12112	0.2297569703037767	Int13511	99	119	7167_T216-R1/200-461|9332_T059-R1/209-474
12111	12230	0.3351389443606106	Int13629	100	56	9580_T342-R1/204-477|6909_T025-R1/205-480
12054	12285	0.36142560225018694	Int13684	100	55	9545_T181-R1/204-469|9869_T037-R1/205-499
12339	12340	0.5128823671070365	Int13739	100	48	9580_T675-R1/257-502|7111_T170-R1/257-515
12387	12388	0.3875900637878887	Int13787	100	62	5993_T416-R1/213-465|7308_T049-R1/242-496
12387	12449	0.8862428622863102	Int13848	100	61	9764_T309-R1/213-471|9721_T016-R1/215-473
12509	12510	0.46572748980101836	Int13909	100	42	9536_T414-R1/35-289|9597_T077-R1/185-442
12509	12551	0.6228435128516825	Int13950	100	57	9762_T130-R1/220-473|7167_T069-R1/28-281
12051	12607	0.0975888819237083	Int14006	42	29	7373_T086-R1/215-482|6909_T004-R1/226-469
15120	15121	1.1084752516255032	Int14052	100	123	7167_T176-R1/217-538|9784_T290-R1/172-497
15120	15243	0.7481477893846203	Int14174	100	152	9550_T428-R1/185-497|9543_T188_1-R1/1-288
14065	14066	0.8466367731093579	Int14328	100	59	9784_T495_2-R1/159-498|9792_T385_2-R1/157-496
14124	14125	0.8098367928876342	Int14387	100	212	7328_T335-R1/173-416|9533_T438-R1/163-498
14336	14337	0.46032288522968495	Int14599	100	43	10015_T355-R1/164-512|7067_T331-R1/74-422
14379	14380	0.20186470503646967	Int14642	100	297	9536_T304-R1/154-484|9669_T432-R1/165-503
14676	14677	0.31155691203116115	Int14939	100	40	7417_T167-R1/155-494|9134_T187-R1/158-496
14716	14717	0.10144721025468459	Int14979	96	63	9871_T367-R1/163-504|9600_T259-R1/163-503
14716	14779	0.18374282466730268	Int15041	100	179	10015_T396-R1/169-511|9100_T119_2-R1/182-521
14064	14957	1.173013617616659	Int15219	100	50	7273_T232-R1/169-508|7213_T232-R1/169-511
14063	15006	0.4308688025879885	Int15268	100	115	9583_T143-R1/180-495|9583_T146-R1/187-513
7699	12652	0.9795075739720657	Int9086	100	14	7416_T307-R1/193-444|7308_T221-R1/193-444
7709	8798	0.13832127773634995	Int11614	38	14	9947_T501-R1/194-468|9332_T158-R1/232-472
7711	8192	0.05266156618658649	Int11629	45	24	5993_T414-R1/186-451|9536_T229-R1/551-795
7708	8811	0.43491948742029246	Int12715	100	16	9947_T463-R1/158-437|9944_T429-R1/202-466
12050	12635	0.740055980719161	Int14034	100	18	7328_T216-R1/404-659|9792_T276-R1/403-658
