parent	node	branch.length	label	bootstrap	N_tips	mrca_id
5396	5397	0.7063680095773506	Int3448	100	22	ZM00001EB304860_P001/215-522|ZM00029AB319340_P001/214-497
5393	6292	0.9502141637396706	Int3452	100	26	ZM00021AB202840_P001/130-406|ZM00031AB207970_P001/1-349
6318	6319	0.3253064203485006	Int3480	99	75	ZM00028AB138120_P001/170-502|ZM00032AB139070_P001/170-502
6318	6393	0.24652454973573198	Int3554	100	24	ZM00039AB199940_P001/2-310|ZM00028AB201520_P001/181-512
6416	6417	0.3428345097854323	Int3578	100	41	ZM00024AB063560_P001/46-397|ZM00029AB064480_P001/173-495
6457	6458	0.4804756259857862	Int3619	100	21	ZM00024AB230320_P001/158-492|ZM00031AB236260_P001/46-380
6479	6480	0.5078065369874444	Int3641	100	22	ZM00024AB168890_P001/81-410|ZM00018AB171670_P001/164-492
6479	6501	0.5044704368576763	Int3662	100	22	ZM00024AB118420_P001/329-666|ZM00027AB117130_P001/279-585
6478	6522	1.2074827504281407	Int3683	100	24	ZM00030AB203640_P001/191-448|ZM00020AB205270_P001/2-148
6698	6699	0.38736886107375273	Int3710	95	27	ZM00021AB265190_P001/179-488|ZM00018AB337230_P001/198-489
6725	6726	0.6015914930307685	Int3737	100	22	ZM00036AB047740_P001/12-307|ZM00025AB047940_P001/12-117
6748	6749	0.7251672396784444	Int3760	100	25	ZM00035AB271570_P001/306-478|ZM00027AB265910_P001/307-479
6748	6773	0.516994267611929	Int3784	100	26	ZM00026AB325230_P001/164-491|ZM00034AB343950_P001/164-491
6798	6799	0.6886892002633876	Int3810	100	26	ZM00040AB243880_P001/187-481|ZM00041AB238170_P001/187-481
6824	6825	0.5591986134230796	Int3836	100	26	ZM00036AB448560_P001/198-512|ZM00021AB422490_P001/1-225
6824	6850	0.34991192517063024	Int3861	100	25	ZM00039AB109240_P001/185-513|ZM00023AB111540_P001/185-487
4646	4647	0.4182807731679447	Int3891	100	19	ZM00030AB223610_P001/161-364|ZM00037AB224530_P001/19-188
4646	4665	0.29356003619311843	Int3909	100	26	ZM00034AB207910_P001/160-545|ZM00030AB197020_P001/160-545
4691	4692	0.662036751783337	Int3936	100	24	ZM00042AB174430_P001/167-476|ZM00024AB171910_P001/167-476
4715	4716	0.4339741318610458	Int3960	100	26	ZM00022AB328050_P001/105-417|ZM00042AB337420_P001/178-490
4715	4741	0.5551303142368261	Int3985	100	25	ZM00018AB424290_P001/198-505|ZM00033AB428550_P001/198-505
4765	4766	0.6230480728429737	Int4010	100	25	ZM00030AB033300_P001/3-324|ZM00034AB035120_P001/193-518
4765	4790	0.44039079779030166	Int4034	100	25	ZM00023AB375200_P001/168-527|ZM00030AB366560_P001/168-527
4644	4814	0.854755907723937	Int4058	100	25	ZM00031AB393380_P001/282-551|ZM00027AB383500_P001/282-551
