Gene	Clade_0	Clade_1	Clade_2	Clade_3	Clade	Ecotype	Allele	File	HV
GWHPACEA009211	Int7287_409	Int7287_409_656_R_36	Int7287_409_656_R_36	NA	Int7287_409_656_R_36	GWHPACEA	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int7287_409_656_R_36.afa	0
W05_GLYSO_03G006025_1_P	Int7287_409	Int7287_409_656_R_36	Int7287_409_656_R_36	NA	Int7287_409_656_R_36	W05	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int7287_409_656_R_36.afa	0
GWHPACEK008274	Int7287_409	Int7287_409_656_R_36	Int7287_409_656_R_36	NA	Int7287_409_656_R_36	GWHPACEK	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int7287_409_656_R_36.afa	0
GWHPACED008491	Int7287_409	Int7287_409_656_R_36	Int7287_409_656_R_36	NA	Int7287_409_656_R_36	GWHPACED	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int7287_409_656_R_36.afa	0
GLYMA_ZH13_03G036200_1_P	Int7287_409	Int7287_409_656_R_36	Int7287_409_656_R_36	NA	Int7287_409_656_R_36	ZH13	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int7287_409_656_R_36.afa	0
GWHPACES009052	Int7287_409	Int7287_409_656_R_36	Int7287_409_656_R_36	NA	Int7287_409_656_R_36	GWHPACES	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int7287_409_656_R_36.afa	0
GWHPACEP008454	Int7287_409	Int7287_409_656_R_36	Int7287_409_656_R_36	NA	Int7287_409_656_R_36	GWHPACEP	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int7287_409_656_R_36.afa	0
GWHPACEU009021	Int7287_409	Int7287_409_656_R_36	Int7287_409_656_R_36	NA	Int7287_409_656_R_36	GWHPACEU	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int7287_409_656_R_36.afa	0
GWHPACEV008496	Int7287_409	Int7287_409_656_R_36	Int7287_409_656_R_36	NA	Int7287_409_656_R_36	GWHPACEV	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int7287_409_656_R_36.afa	0
GWHPACET009104	Int7287_409	Int7287_409_656_R_36	Int7287_409_656_R_36	NA	Int7287_409_656_R_36	GWHPACET	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int7287_409_656_R_36.afa	0
GWHPACEA009165	Int7287_409	Int7287_409_656_L_353	Int7287_409_656_L_353	NA	Int7287_409_656_L_353	GWHPACEA	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int7287_409_656_L_353.afa	1
GWHPACEF008466	Int7287_409	Int7287_409_656_R_36	Int7287_409_656_R_36	NA	Int7287_409_656_R_36	GWHPACEF	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int7287_409_656_R_36.afa	0
GWHPACEL008608	Int7287_409	Int7287_409_656_R_36	Int7287_409_656_R_36	NA	Int7287_409_656_R_36	GWHPACEL	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int7287_409_656_R_36.afa	0
GWHPACEP008422	Int7287_409	Int7287_409_656_L_353	Int7287_409_656_L_353	NA	Int7287_409_656_L_353	GWHPACEP	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int7287_409_656_L_353.afa	1
GWHPACED008448	Int7287_409	Int7287_409_656_L_353	Int7287_409_656_L_353	NA	Int7287_409_656_L_353	GWHPACED	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int7287_409_656_L_353.afa	1
