Gene	Clade_0	Clade_1	Clade_2	Clade_3	Clade	Ecotype	Allele	File	HV
ZM00029AB319340_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	ki3	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00023AB313710_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	cml247	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00042AB469660_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	tzi8	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00001EB304860_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	b73	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00022AB310170_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	cml228	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00035AB316240_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	ms71	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00042AB462220_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	tzi8	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00025AB315740_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	cml322	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00021AB309300_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	cml103	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00040AB324080_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	p39	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00033AB322920_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	m162w	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00019AB292590_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	cml52	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00019AB447030_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	cml52	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00024AB310490_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	cml277	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00036AB314310_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	nc350	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00039AB310770_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	oh43	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00032AB317860_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	m37w	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00037AB309040_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	nc358	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00031AB316790_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	ky21	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00018AB319080_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	b97	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00038AB311690_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	oh7b	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00028AB312360_P001	Int3448_22	Int3448_22	NA	NA	Int3448_22	il14h	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3448_22.afa	0
ZM00021AB202840_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	cml103	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00026AB202080_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	cml333	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00033AB212370_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	m162w	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00001EB200120_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	b73	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00039AB204460_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	oh43	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00030AB201330_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	ki11	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00019AB190200_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	cml52	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00025AB207720_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	cml322	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00038AB203290_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	oh7b	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00037AB202220_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	nc358	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00018AB207760_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	b97	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00041AB208620_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	tx303	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00036AB205570_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	nc350	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00031AB207970_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	ky21	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00027AB203620_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	hp301	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00024AB203470_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	cml277	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00035AB206490_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	ms71	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00034AB212110_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	mo18w	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00023AB205790_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	cml247	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00029AB207050_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	ki3	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00020AB203020_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	cml69	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00032AB206910_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	m37w	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00028AB205830_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	il14h	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
