Clade parent node branch.length label bootstrap mrca_id N_OverlapEco
Int4674_114_143_L_37 43 44 0.10626508531558172 NA 100 ZM00018AB439450_P001|ZM00027AB425540_P001 13
Int4787_129_172_R_46 71 72 0.10181453069748099 NA 100 ZM00040AB431180_P001|ZM00027AB411300_P001 2
Int4787_129_172_R_46 57 58 0.11437316548319057 NA 100 ZM00024AB414620_P001|ZM00033AB428870_P001 8
Int4787_129_172_R_46 71 74 0.1232137386324905 NA 100 ZM00025AB421330_P001|ZM00038AB381020_P001 4
Int4787_129_172_R_46 56 4 0.14011284844169472 ZM00030AB408480_P001 NA NA 0
Int4941_37_44_R_13 14 15 0.18723141497815135 NA 59 ZM00020AB199950_P001|ZM00032AB203820_P001 0
Int5038_20_18_L_19 30 11 0.16517391229643363 ZM00019AB154980_P001 NA NA 1
Int5939_50_60_L_25 31 39 0.10170163939080622 NA 100 ZM00019AB154650_P001|ZM00039AB166390_P001 6
Int5939_50_60_L_25 31 32 0.12247269620818726 NA 100 ZM00031AB170700_P001|ZM00029AB170450_P001 7
Int5939_50_60_L_25 29 31 0.1374934388866977 NA 100 ZM00031AB170700_P001|ZM00019AB154650_P001 4
Int5939_50_60_L_25 40 13 0.14168618598372829 ZM00019AB154650_P001 NA NA 0
Int6085_245_276_R_39 55 56 0.08465404793481751 NA 100 ZM00028AB371450_P001|ZM00020AB366730_P001 15
Int6085_245_340_R_21 36 37 0.14452090927348613 NA 100 ZM00021AB118420_P001|ZM00042AB121080_P001 0
Int6085_245_343_R_26 36 38 0.12726267199504476 NA 100 ZM00040AB318060_P001|ZM00025AB310010_P001 6
Int6085_245_428_R_21 24 31 0.15144279573857114 NA 100 ZM00042AB121090_P001|ZM00038AB120550_P001 2
Int6329_131_253_L_122 184 209 0.1030746916882305 NA 100 ZM00042AB424630_P001|ZM00029AB422920_P001 20
Int6329_131_253_L_122 200 205 0.43949798128060275 NA 100 ZM00036AB448910_P001|ZM00036AB417400_P001 4
Int6329_131_253_L_122 202 203 0.48611132207800745 NA 98 ZM00032AB458260_P001|ZM00032AB459740_P001 1
Int6648_150_178_L_128 194 53 0.1093480296168811 ZM00021AB448620_P001 NA NA 1
Int6648_150_178_L_128 171 30 0.13214143076680787 ZM00039AB414410_P001 NA NA 1
Int6648_150_178_L_128 148 12 0.1495499869010687 ZM00021AB413210_P001 NA NA 1
Int6648_150_178_L_128 195 204 0.15357497785589252 NA 99 ZM00041AB422400_P001|ZM00022AB411670_P001 7
Int6648_150_178_L_128 143 144 0.17219962386796062 NA 100 ZM00025AB421570_P001|ZM00021AB413210_P001 22
