Clade parent node branch.length label bootstrap mrca_id N_OverlapEco
Int11409_395_471_L_74 107 108 0.12427265962482664 NA 100 GWHPACEV022392|GWHPACEP022704 23
Int11409_395_471_L_74 79 80 0.1425970993698591 NA 100 GWHPACDY024635|GWHPACDY024636 21
Int11409_395_471_L_74 107 55 0.15653741412077823 GWHPACDY024701 NA NA 1
Int11409_395_471_L_74 80 81 0.20927784271061495 NA 100 GWHPACDY024635|GWHPACEP022707 3
Int11409_395_471_R_144 169 170 0.10067348359136374 NA 100 GWHPACEM024032|GWHPACEJ024760 11
Int11409_395_471_R_144 153 154 0.1094226361184161 NA 100 W05_GLYSO_06G015842_1_P|W05_GLYSO_06G015831_1_P 10
Int11409_395_471_R_144 197 198 0.12467071965385997 NA 100 GWHPACEV022326|GWHPACEX022663 23
Int11409_395_471_R_144 197 221 0.14611205135466385 NA 100 GWHPACDY024545|GWHPACEG023905 13
Int11409_395_471_R_144 156 157 0.14942152379537751 NA 100 W05_GLYSO_06G015831_1_P|GWHPACDY024540 12
Int11409_395_471_R_144 154 155 0.15804364177178531 NA 100 W05_GLYSO_06G015842_1_P|GWHPACEC022831 2
Int11409_395_471_R_144 182 188 0.1871339549454058 NA 100 GWHPACER022254|GWHPACEP022655 9
Int11409_395_471_R_144 181 45 0.24112436955334654 GWHPACDY024552 NA NA 1
Int11409_395_471_R_144 182 183 0.3763020492761672 NA 100 GLYMA_ZH13_06G235400_1_P|GWHPACEF022293 6
Int11409_395_471_R_144 168 278 0.6654722782953697 NA 100 GWHPACES024985|GWHPACDZ023663 6
Int11409_395_752_R_4 5 6 0.22311612017369126 NA 100 GWHPACEF022405|GWHPACDZ023611 2
Int11409_395_755_R_28 31 32 0.14181476939810392 NA 100 GWHPACEC022870|GWHPACEF022396 2
Int11890_361_405_L_52 58 68 0.05224079256058776 NA 97 W05_GLYSO_06G015928_1_P|GWHPACDY024686 21
Int11890_361_405_L_52 68 69 0.056382587317918315 NA 100 GWHPACDY024686|GLYMA_ZH13_06G246900_1_P 21
Int11890_361_405_R_36 43 64 0.3093666319061221 NA 98 GWHPACEG066796|GWHPACEV061357 2
Int11890_361_405_R_36 64 65 0.332912023713823 NA 100 GWHPACEG066796|GWHPACEW067263 2
Int11890_361_405_R_36 64 66 0.35997931292864355 NA 100 GWHPACEW067272|GWHPACEV061357 1
Int11890_361_407_R_18 30 31 0.1395215409765835 NA 100 GLYMA_ZH13_16G113500_1_P|W05_GLYSO_16G043557_1_P 2
Int11890_361_455_R_50 59 60 0.0749920896148662 NA 100 GLYMA_19G054700_1|GWHPACEH076947 11
Int11890_361_455_R_50 60 61 0.2193895938473021 NA 100 GLYMA_19G054700_1|GLYMA_ZH13_19G049500_1_P 7
Int11890_361_504_R_81 84 85 0.11197039287548967 NA 100 GLYMA_ZH13_16G122000_1_P|GWHPACEC062303 10
Int11890_361_504_R_81 85 86 0.11499973886600628 NA 100 GLYMA_ZH13_16G122000_1_P|GWHPACEE066204 13
