Clade	FractionZero	FractionZeroNG	Ali_Length	N_HV_Sites
Int10225_32_43_L_16	0.66892545982575	0.993223620522749	1033	0
Int10225_32_43_R_16	0.931150293870697	0.992443324937028	1191	0
Int10309_34_37_L_19	0.936497326203209	0.97927807486631	1496	0
Int10309_34_37_R_15	0.864098837209302	0.997093023255814	1376	0
Int10346_43_59_L_17	0.502034174125305	0.8966639544345	1229	2
Int10346_43_59_R_26	0.344944774851317	0.96856414613424	1177	0
Int10388_28_41_L_22	0.469626168224299	0.969626168224299	1284	0
Int10388_28_41_R_6	0.613376835236542	0.966557911908646	1226	0
Int10472_18_27_L_9	0.537494763301215	0.964809384164223	2387	0
Int10472_18_27_R_5	0.80062630480167	0.957202505219207	958	0
Int10472_18_31_R_4	0.800791556728232	0.953166226912929	1516	0
Int10490_338_373_L_35	0.199566160520607	0.86117136659436	2305	3
Int10490_338_374_R_27	0.471544715447154	0.910569105691057	1107	0
Int10490_338_401_R_26	0.415111940298507	0.955223880597015	1072	0
Int10490_338_428_R_34	0.640758293838863	0.975355450236967	1055	0
Int10490_338_461_R_12	0.760707635009311	0.874301675977654	1074	0
Int10490_338_475_R_23	0.854128440366972	0.972477064220184	1090	0
Int10490_338_499_R_26	0.757676348547718	0.969294605809129	1205	0
Int10490_338_524_R_26	0.551903114186851	0.985294117647059	1156	0
Int10490_338_549_R_46	0.402854006586169	0.881448957189901	911	1
Int10490_338_595_R_8	0.402387041773231	0.89769820971867	1173	1
Int10490_338_603_R_19	0.829015544041451	0.998272884283247	1158	0
Int10490_338_622_R_27	0.772296015180266	0.985768500948767	1054	0
Int10490_338_648_R_27	0.820183486238532	0.980733944954128	1090	0
Int10841_54_73_L_25	0.75235646958012	0.99057412167952	1167	0
Int10841_54_75_R_22	0.803493449781659	0.988646288209607	1145	0
Int10841_54_97_R_5	0.912894961571307	0.998292058070026	1171	0
Int10916_135_156_L_23	0.627666896077082	0.975223675154852	1453	0
Int10916_135_157_R_4	0.877009084556254	0.932215234102027	1431	0
Int10916_135_161_R_19	0.590398365679265	0.979570990806946	979	0
Int10916_135_180_R_30	0.633125556544969	0.952804986642921	1123	0
Int10916_135_209_R_59	0.907608695652174	0.952173913043478	920	0
Int11051_30_40_L_12	0.534173855341739	0.943596549435965	1507	0
Int11051_30_40_R_11	0.951269035532995	0.971573604060914	985	0
Int11051_30_51_R_7	0.662818955042527	0.992102065613609	1646	0
