Clade	FractionZero	FractionZeroNG	Ali_Length	N_HV_Sites
Int3448_22	0.274569402228977	0.954407294832827	987	0
Int3452_26	0.215242881072027	0.932998324958124	1194	3
Int3480_75	0	0.539422326307572	1281	31
Int3554_24	0.0525931336742148	0.816654492330168	1369	0
Int3578_41	0.049580472921434	0.22883295194508	1311	119
Int3619_21	0.839779005524862	0.975138121546961	1448	0
Int3641_22	0	0.879481311975591	1311	3
Int3662_22	0.133417243549402	0.873505349276274	1589	3
Int3683_24	0.071976401179941	0.958702064896755	1695	0
Int3710_27	0.0436241610738255	0.457214765100671	1192	1
Int3737_22	6.31711939355654e-4	0.943777637397347	1583	0
Int3760_25	0.465152701644479	0.939702427564605	1277	0
Int3784_26	0.979335130278526	0.979335130278526	1113	0
Int3810_26	0.592730661696179	0.982292637465051	1073	0
Int3836_26	0.149717514124294	0.846516007532957	1062	0
Int3861_25	0.152621722846442	0.957865168539326	1068	1
Int3891_19	0.121495327102804	0.81619937694704	963	0
Int3909_26	0.536934950385888	0.955898566703418	907	0
Int3936_24	0.358836206896552	0.923491379310345	928	1
Int3960_26	0.562804284323272	0.921129503407984	1027	0
Int3985_25	0.62847965738758	0.9593147751606	934	0
Int4010_25	0.246766169154229	0.886567164179105	1005	0
Int4034_25	0.597849462365591	0.973118279569892	930	0
Int4058_25	0.690021231422505	0.935244161358811	942	0
Int4084_115	0	0.358714043993232	1773	417
Int4275_26	0.00316789862724393	0.956705385427666	947	0
Int4300_27	7.92393026941363e-4	0.83122028526149	1262	2
Int4330_29	0	0.552987352812909	2293	5
Int4358_19	0.206481481481481	0.794444444444444	1080	0
Int4379_26	0.0072202166064982	0.909747292418773	831	2
Int4413_17	0	0.80952380952381	966	1
Int4432_13	0	0.955342001130582	1769	0
Int4446_26	0.652605459057072	0.949131513647643	806	0
Int4472_18	0.0836820083682008	0.725941422594142	478	0
Int4489_28	0	0.892241379310345	928	0
Int4518_30	0	0.409785932721713	981	27
Int4548_15	0.282961460446247	0.603448275862069	986	4
Int4564_53	0	0.864637985309549	953	0
Int4616_18	0.0343839541547278	0.752626552053486	1047	0
Int4635_38	0	0.850340136054422	1029	0
Int4674_114	0.0241718889883617	0.254252461951656	1117	195
Int4787_129	0.0181818181818182	0.326315789473684	1045	48
Int4916_25	0.0811567164179104	0.543376865671642	2144	44
Int4941_37	0	0.474	1000	3
Int4977_21	0.166093366093366	0.885012285012285	2035	6
Int4998_20	0	0.95703544575725	931	1
Int5017_19	0.0147213459516299	0.909568874868559	951	0
Int5038_20	0.013448275862069	0.758965517241379	2900	5
Int5061_32	0.0160965794768612	0.382293762575453	994	2
Int5093_25	0.463656387665198	0.780837004405286	908	0
Int5118_31	0.0568265682656827	0.923247232472325	1355	1
Int5149_24	0.78363914373088694	0.940366972477064	1308	0
Int5172_21	0.201980198019802	0.953135313531353	1515	0
Int5193_21	0.440789473684211	0.963345864661654	1064	0
Int5214_24	0.481409001956947	0.992172211350294	1022	0
Int5237_22	0.263461538461538	0.680769230769231	1040	4
Int5258_27	0.839228295819936	0.972668810289389	622	0
Int5286_45	0.00326797385620915	0.729847494553377	918	0
Int5331_26	0.789760348583878	0.97276688453159	918	0
Int5357_25	0.401993355481728	0.957918050941307	903	0
Int5382_27	0.72322375397667	0.953340402969247	943	0
Int5409_25	0.873417721518987	0.992616033755274	948	0
Int5433_53	0	0.851196670135276	961	2
Int5485_123	0	0.280952380952381	1050	229
Int5636_26	0.13646288209607	0.972707423580786	916	0
Int5662_25	0.473053892215569	0.922155688622755	1002	0
Int5686_26	0.64647577092511	0.95374449339207	908	0
Int5711_52	0.334093500570125	0.908779931584949	877	0
Int5763_50	0.0185512367491166	0.182862190812721	1132	4
Int5812_24	0.136008918617614	0.962095875139353	897	0
Int5835_26	0.793187347931874	0.931873479318735	411	0
Int5861_25	0.338075313807531	0.951464435146444	1195	1
Int5886_54	0.0898661567877629	0.760038240917782	1046	4
Int5939_50	0	0.538812785388128	1314	14
Int5989_24	0.078740157480315	0.982502187226597	1143	0
Int6012_25	0.380697050938338	0.971403038427167	1119	0
Int6039_47	0.25607476635514	0.777570093457944	535	4
Int6085_245	0.00354609929078014	0.0354609929078014	564	297
Int6329_131	0	0.269436997319035	1492	80
Int6460_26	0	0.946935041171089	1093	0
Int6487_25	0.56605222734255	0.957757296466974	1302	0
Int6512_26	0.827534039334342	0.942511346444781	661	0
Int6537_26	0.874887488748875	0.95949594959496	1111	0
Int6568_81	0	0.259194395796848	1142	39
Int6648_150	7.68049155145929e-4	0.370967741935484	1302	53
Int6797_24	0.232704402515723	0.926100628930818	1272	0
Int6821_24	0.24972497249725	0.844884488448845	909	0
Int6844_19	0.477648499693815	0.970606246172688	1633	0
