Clade parent node branch.length label bootstrap mrca_id N_OverlapEco
Int10225_32 42 43 0.6298298290746684 NA 100 GWHPACEA048350|GWHPACEN047206 9
Int10309_34 36 37 1.0047736568207555 NA 100 GWHPACEX047625|GWHPACEQ047909 13
Int10346_43 54 59 0.7177053885769095 NA 100 GWHPACEV007211|GWHPACED007330 15
Int10388_28 40 41 0.3612047752858881 NA 100 W05_GLYSO_07G017123_1_P|GWHPACEA026477 6
Int10472_18 26 27 0.1069840605066972 NA 100 GWHPACES000514|GWHPACEM000517 3
Int10472_18 26 31 0.1336643784036303 NA 100 GWHPACDY000513|W05_GLYSO_01G000326_1_P 2
Int10490_338 621 648 0.11325901830146526 NA 100 GWHPACEV023659|GWHPACEQ024040 27
Int10490_338 498 499 0.1622427959231784 NA 100 GWHPACEF001909|GWHPACEI001946 26
Int10490_338 594 602 0.16636916756026252 NA 100 GWHPACED057911|GWHPACEN063725 29
Int10490_338 473 474 0.18626889075703223 NA 100 GWHPACED008591|GWHPACEF001909 29
Int10490_338 621 622 0.19881549961910702 NA 100 GWHPACEA064794|GWHPACEN063725 27
Int10490_338 427 461 0.23474040941341823 NA 100 GWHPACEJ036546|GWHPACDY036481 12
Int10490_338 373 374 0.2363909957991322 NA 100 GWHPACEE062535|GLYMA_15G160900_1 27
Int10490_338 498 524 0.27403019880302737 NA 100 GWHPACEI001948|GWHPACEJ001963 26
Int10490_338 602 621 0.2938019659844232 NA 100 GWHPACEN063725|GWHPACEV023659 29
Int10490_338 474 475 0.2968329628865639 NA 100 GWHPACED008591|GWHPACEO009136 22
Int10490_338 426 472 0.3054487679448443 NA 100 GWHPACED008591|GWHPACDZ008909 29
Int10490_338 427 428 0.3583162939914935 NA 100 GWHPACES035682|GWHPACEW035615 25
Int10490_338 347 373 0.3910181112018027 NA 100 GLYMA_15G160900_1|GWHPACEA035763 24
Int10490_338 497 549 0.3913184434294849 NA 100 GWHPACEG009056|GWHPACES009159 24
Int10490_338 400 401 0.39350537181443307 NA 100 GWHPACEA035763|GWHPACDZ034575 26
Int10490_338 594 595 0.44317597725699287 NA 100 GLYMA_ZH13_03G043800_1_P|GWHPACEE008978 8
Int10490_338 472 674 0.49307700214731515 NA 100 GWHPACDZ008909|GWHPACEL008739 2
Int10490_338 602 603 0.8521803600514989 NA 100 GWHPACED057911|GWHPACEG060134 19
Int10841_54 72 73 0.11643245545053053 NA 100 W05_GLYSO_08G021027_1_P|GWHPACEK024359 20
Int10841_54 73 97 0.11982369680575602 NA 100 GWHPACEK024359|GLYMA_07G123000_1 5
Int10841_54 74 96 0.15942227079284665 NA 100 GLYMA_09G202832_1|GLYMA_ZH13_09G183900_1_P 2
Int10841_54 74 75 0.18678035598844384 NA 100 GWHPACEJ032945|W05_GLYSO_08G021027_1_P 20
Int10916_135 155 156 0.11428667865226035 NA 100 GLYMA_ZH13_02G031700_1_P|GLYMA_ZH13_13G060400_1_P 23
Int10916_135 156 157 0.12890084761987478 NA 100 GLYMA_ZH13_02G031700_1_P|GWHPACEP003902 4
Int10916_135 160 161 0.18429590078954863 NA 100 GWHPACEL049874|GLYMA_ZH13_13G060400_1_P 19
Int10916_135 179 180 0.2751328260879673 NA 100 W05_GLYSO_20G053164_1_P|GWHPACEM080567 28
Int10916_135 179 209 0.3552705940517145 NA 100 GWHPACDY034656|GWHPACEG033519 26
Int10916_135 156 160 0.5160970289948205 NA 100 GLYMA_ZH13_13G060400_1_P|W05_GLYSO_20G053164_1_P 23
Int11051_30 40 51 0.3113246661784252 NA 100 GWHPACEC039374|GLYMA_ZH13_10G169200_1_P 4
