Clade parent node branch.length label bootstrap mrca_id N_OverlapEco
Int3480_75 123 124 0.10064907272992525 NA 100 ZM00037AB135500_P001|ZM00034AB143990_P001 2
Int3480_75 131 52 0.1027125666222695 ZM00032AB139050_P001 NA NA 1
Int3480_75 128 48 0.10840341646257735 ZM00024AB137160_P001 NA NA 1
Int3480_75 129 130 0.12461450818065578 NA 88 ZM00038AB137860_P001|ZM00032AB139050_P001 3
Int3480_75 140 61 0.15328812459401558 ZM00040AB144580_P001 NA NA 1
Int3480_75 93 13 0.24306323815979158 ZM00020AB136310_P001 NA NA 1
Int3480_75 130 131 0.38620637675379166 NA 93 ZM00032AB139050_P001|ZM00040AB144610_P001 2
Int3554_24 41 42 0.17932326788490788 NA 100 ZM00039AB199940_P001|ZM00030AB197120_P001 5
Int3578_41 59 60 0.10809646301905784 NA 100 ZM00031AB322640_P001|ZM00035AB322510_P001 15
Int3578_41 53 54 0.39018680681366036 NA 100 ZM00024AB063560_P001|ZM00029AB064480_P001 15
Int3578_41 58 16 0.6386167665744252 ZM00029AB064480_P001 NA NA 1
Int3578_41 54 55 0.6905767209167362 NA 100 ZM00024AB063560_P001|ZM00029AB064470_P001 3
Int3578_41 54 58 0.8985262763128938 NA 100 ZM00029AB064480_P001|ZM00026AB313530_P001 17
Int3578_41 58 59 0.9262781632031972 NA 100 ZM00026AB313530_P001|ZM00031AB322640_P001 16
Int3641_22 33 34 0.13662001866916337 NA 100 ZM00022AB167550_P001|ZM00042AB171280_P001 0
Int3710_27 45 46 1.4496207507272112 NA 100 ZM00028AB268840_P001|ZM00021AB265190_P001 3
Int3836_26 39 10 0.4750967865019515 ZM00042AB434350_P001 NA NA 1
Int4084_115 140 145 0.1278735344413888 NA 82 ZM00036AB402540_P001|ZM00027AB397240_P001 9
Int4084_115 138 139 0.17474012218404747 NA 100 ZM00019AB111520_P001|ZM00035AB423200_P001 26
Int4084_115 145 146 0.2963757413809185 NA 100 ZM00036AB402540_P001|ZM00042AB409760_P001 3
Int4084_115 137 204 0.3010443435135463 NA 100 ZM00027AB204310_P001|ZM00029AB207660_P001 26
Int4084_115 135 137 0.30165490939789064 NA 100 ZM00019AB111520_P001|ZM00027AB204310_P001 22
Int4084_115 138 178 0.4069156213385769 NA 100 ZM00022AB062310_P001|ZM00041AB063070_P001 26
Int4084_115 139 140 0.5356188370874101 NA 100 ZM00019AB111520_P001|ZM00036AB402540_P001 12
Int4084_115 139 153 1.1868811811912952 NA 100 ZM00035AB423200_P001|ZM00034AB433630_P001 26
