Clade	FractionZero	FractionZeroNG	Ali_Length	N_HV_Sites
Int3480_75_130_L_68	0.0111690245718541	0.611317944899479	1343	31
Int3554_24_42_L_18	0.144131777625257	0.918325326012354	1457	0
Int3554_24_42_R_6	0.153465346534653	0.988118811881188	1010	0
Int3578_41_54_L_17	0.442206654991243	0.94045534150613	1142	13
Int3578_41_55_R_4	0.813993174061433	0.963310580204778	1172	0
Int3578_41_59_R_19	0.498148148148148	0.919444444444444	1080	0
Int3710_27_46_L_24	0.0963963963963964	0.936036036036036	1110	0
Int3836_26_10_L_25	0.147222222222222	0.927777777777778	1080	0
Int4084_115_137_L_22	0.206075533661741	0.990147783251232	1218	0
Int4084_115_140_R_5	0.994787788533135	0.994787788533135	1343	0
Int4084_115_145_R_6	0.39776357827476	0.977635782747604	626	0
Int4084_115_153_R_26	0.408018867924528	0.832547169811321	1272	1
Int4084_115_178_R_27	0	0.842848734549735	1699	10
Int4084_115_204_R_26	0.633136094674556	0.994928148774303	1183	0
Int4330_29_22_L_28	0	0.863210702341137	2990	4
Int4472_18_27_L_12	0.235521235521236	0.992277992277992	259	0
Int4472_18_27_R_6	0.753164556962025	0.90295358649789	474	0
Int4489_28_37_L_26	0	0.942949407965554	929	0
Int4518_30_37_L_24	0	0.856526429341963	927	4
Int4518_30_38_R_5	0.998961578400831	0.998961578400831	963	0
Int4548_15_20_L_8	0.802051282051282	0.931282051282051	975	0
Int4548_15_22_R_4	0.981269510926119	0.982310093652445	961	0
Int4564_53_75_L_26	0.233438485804416	0.97055730809674	951	0
Int4564_53_75_R_27	0.0010482180293501	0.89622641509434	954	0
Int4635_38_52_L_34	0.0388726919339164	0.895043731778426	1029	0
Int4635_38_52_R_4	0.458498023715415	0.976284584980237	253	0
Int4674_114_126_R_18	0.305555555555556	0.919444444444444	1080	0
Int4674_114_143_L_37	0.105916030534351	0.799618320610687	1048	2
Int4674_114_144_R_7	0.652219873150106	0.989429175475687	1892	0
Int4674_114_151_R_7	0.504504504504504	0.986986986986987	999	0
Int4674_114_157_R_26	0.44044044044044	0.980980980980981	999	0
Int4674_114_182_R_17	0.156843156843157	0.912087912087912	1001	0
Int4787_129_172_L_83	0.0426829268292683	0.651084010840108	1476	28
Int4787_129_172_R_46	0.0748239436619718	0.519366197183099	1136	36
Int4916_25_31_L_7	0.652219873150106	0.989429175475687	1892	0
Int4916_25_31_R_18	0.314504547630445	0.888942077549067	2089	5
Int4941_37_44_L_24	0.288912579957356	0.908315565031983	938	0
Int4941_37_44_R_13	0	0.857657657657658	1110	18
Int5038_20_18_L_19	0.0285714285714286	0.878405315614618	3010	5
Int5061_32_20_L_31	0.0487077534791252	0.830019880715706	1006	1
Int5237_22_29_L_7	0.810028929604629	0.999035679845709	1037	0
Int5237_22_29_R_15	0.365679264555669	0.953013278855976	979	0
Int5286_45_69_L_24	0.583333333333333	0.945175438596491	912	0
Int5286_45_69_R_21	0.214437367303609	0.799363057324841	942	0
Int5433_53_72_L_26	0	0.931451612903226	992	0
Int5433_53_72_R_27	0.926305015353122	0.978505629477994	977	0
Int5485_123_147_L_25	0.525274725274725	0.968131868131868	910	0
Int5485_123_152_R_25	0.552140504939627	0.944017563117453	911	0
Int5485_123_176_R_26	0.627431906614786	0.977626459143969	1028	0
Int5485_123_201_R_44	0.128289473684211	0.93530701754386	912	0
Int5763_50_64_L_26	0.972055888223553	0.982035928143713	1002	0
Int5763_50_65_R_19	0.638119227539882	0.991603694374475	1191	0
Int5886_54_61_L_7	0.948424068767908	0.997134670487106	349	0
Int5886_54_61_R_12	0.459074733096085	0.925266903914591	281	0
Int5886_54_63_R_8	0.419354838709677	0.953079178885631	341	0
Int5886_54_78_R_26	0.346116970278044	0.969319271332694	1043	0
Int5939_50_60_L_25	0	0.605263157894737	1368	65
Int5939_50_60_R_25	0.320395738203957	0.966514459665145	1314	0
Int6085_245_260_L_22	0.585492227979275	0.917098445595855	579	0
Int6085_245_266_R_11	0.961685823754789	0.971264367816092	522	0
Int6085_245_276_R_39	0.444866920152091	0.800380228136882	526	2
Int6085_245_315_R_24	0.300207039337474	0.971014492753623	483	0
Int6085_245_340_R_21	0.578411405295316	0.85132382892057	491	0
Int6085_245_343_R_26	0.428341384863124	0.784219001610306	621	2
Int6085_245_368_R_26	0.771217712177122	0.904059040590406	542	0
Int6085_245_413_R_16	0.803245436105477	0.843813387423935	493	0
Int6085_245_428_R_21	0.276978417266187	0.793165467625899	556	2
Int6085_245_449_R_18	0.458128078817734	0.914614121510673	609	0
Int6085_245_468_R_15	0.667300380228137	0.956273764258555	526	0
Int6329_131_253_L_122	0	0.418604651162791	1634	71
Int6329_131_253_R_9	0.210164835164835	0.967032967032967	728	0
Int6568_81_106_R_28	0.0462328767123288	0.757705479452055	1168	0
Int6568_81_120_R_22	0.139152981849611	0.898012100259291	1157	11
Int6568_81_94_L_19	0.674897119341564	0.905349794238683	243	0
Int6568_81_94_R_12	0.00296150049358342	0.846001974333662	1013	3
Int6648_150_178_L_128	0.0407894736842105	0.578289473684211	1520	56
Int6648_150_178_R_15	0.917368018362663	0.951032899770467	1307	0
