Clade parent node branch.length label bootstrap mrca_id N_OverlapEco
Int4674_114_143_L_37_44_R_23 38 10 0.1088242125859332 ZM00042AB439460_P001 NA NA 0
Int4787_129_172_R_46_58_L_29 39 40 0.1371503610752107 NA 100 ZM00034AB431540_P001|ZM00037AB409290_P001 4
Int4941_37_44_R_13_15_L_4 6 2 0.1584347995596315 ZM00038AB200260_P001 NA NA 0
Int5939_50_60_L_25_31_L_9 13 2 0.12142310116416424 ZM00029AB170390_P001 NA NA 0
Int5939_50_60_L_25_32_R_8 14 6 0.7698239521435614 ZM00023AB168930_P001 NA NA 0
Int6329_131_253_L_122_209_L_80 88 89 0.10204470171974538 NA 100 ZM00001EB405770_P001|ZM00027AB411410_P001 3
Int6329_131_253_L_122_209_L_80 85 86 0.10431225639467251 NA 100 ZM00039AB414160_P001|ZM00029AB422990_P001 2
Int6329_131_253_L_122_209_L_80 132 134 0.10654524681342321 NA 100 ZM00039AB414140_P001|ZM00036AB417360_P001 4
Int6329_131_253_L_122_209_L_80 120 142 0.11870599364173225 NA 90 ZM00036AB417390_P001|ZM00037AB409470_P001 9
Int6329_131_253_L_122_209_L_80 145 146 0.143331380006668 NA 100 ZM00042AB424660_P001|ZM00032AB422940_P001 2
Int6329_131_253_L_122_209_L_80 144 145 0.15259541474135227 NA 90 ZM00032AB422940_P001|ZM00019AB392010_P001 3
Int6329_131_253_L_122_209_L_80 146 147 0.21737213304845293 NA 100 ZM00032AB422940_P001|ZM00042AB463220_P001 2
Int6329_131_253_L_122_209_L_80 96 13 0.3369547586782769 ZM00036AB448930_P001 NA NA 1
