Clade parent node branch.length label bootstrap mrca_id N_OverlapEco
Int10172_376 494 495 0.21150951613611904 NA 100 7328_T221-R1|9879_T100-R1 61
Int10172_376 623 624 0.3253212803937165 NA 100 9887_T190-R1|7067_T080-R1 44
Int10172_376 423 424 0.3686060832866812 NA 100 9543_T256_1-R1|9554_T192_2-R1 11
Int10172_376 422 423 0.39412229769971224 NA 100 9543_T256_1-R1|9610_T364-R1 58
Int10172_376 434 435 1.2462676885317576 NA 100 9610_T364-R1|9332_T401-R1 60
Int10547_34 49 50 0.43499434774081985 NA 100 9610_T309-R1|9545_T298-R1 16
Int10637_304 314 324 0.22922700360836215 NA 100 9536_T328-R1|7288_T051-R1 25
Int10637_304 362 381 0.3541735052842804 NA 100 9721_T207-R1|9837_T017-R1 3
Int10637_304 325 362 0.4796027279334243 NA 100 9550_T043-R1|9837_T017-R1 18
Int10637_304 543 546 0.5290352639928753 NA 100 9654_T012-R1|6939_T414-R1 10
Int10637_304 325 326 0.954253026818691 NA 100 9536_T328-R1|7328_T285-R1 37
Int11061_33 34 35 0.5733553123281755 NA 100 9610_T528-R1|9784_T505-R1 1
Int11093_76 89 90 0.276087111879627 NA 100 6974_T067-R1|9600_T085-R1 16
Int11093_76 90 91 0.2843151423094182 NA 100 6974_T067-R1|7373_T018-R1 19
Int11093_76 90 144 0.29515887238197824 NA 100 9944_T024-R1|9600_T085-R1 3
Int11170_39 54 55 0.9738226413342331 NA 100 7058_T349-R1|7058_T423-R1 0
Int11247_267 325 326 0.16975594256571908 NA 99 9721_T094-R1|9550_T059-R1 60
Int11247_267 433 468 0.2194523835447024 NA 100 5784_T037_1-R1|9792_T225-R1 59
Int11247_267 324 325 0.22600896258393527 NA 100 9721_T094-R1|7417_T137-R1 57
Int11247_267 433 434 0.4942301287131429 NA 100 7417_T137-R1|6906_T063-R1 31
Int11547_65 75 120 0.24962091365749053 NA 100 9536_T236-R1|7417_T332-R1 6
Int11614_14 25 9 1.592589207629688 9947_T501-R1 NA NA 0
Int11629_24 34 35 0.20265632052075266 NA 100 5993_T414-R1|9784_T162-R1 8
Int11629_24 35 36 0.20873956655765993 NA 100 9784_T162-R1|9536_T416-R1 8
Int11629_24 35 20 0.8502628036493856 5993_T414-R1 NA NA 0
Int11708_423 784 813 0.4356933798190432 NA 100 9654_T550-R1|9871_T321-R1 9
Int11708_423 784 785 0.5926141977375108 NA 100 9550_T553-R1|9610_T369-R1 28
Int11708_423 514 515 0.6369333486272021 NA 100 6924_T102-R1|5784_T114-R1 4
Int11708_423 512 513 0.6399552898498131 NA 100 6924_T102-R1|6899_T232_2-R1 57
Int11708_423 513 520 0.8236502033474812 NA 100 6899_T232_2-R1|9784_T251-R1 57
Int11708_423 514 518 0.8792264600000977 NA 100 9669_T067-R1|6906_T102-R1 3
Int11708_423 513 514 1.194324920115772 NA 100 6924_T102-R1|6906_T102-R1 4
Int12194_239 266 292 0.2768263404075521 NA 100 9554_T370-R1|9134_T346-R1 56
Int12194_239 348 349 0.4742712186406825 NA 100 9134_T346-R1|9542_T446-R1 60
Int12194_239 348 408 0.4830902720336547 NA 100 9542_T255-R1|9543_T335-R1 54
Int12432_284 357 410 0.16088442888134885 NA 100 9879_T127-R1|9537_T139-R1 59
Int12432_284 468 469 0.17263900386459902 NA 100 9100_T524-R1|7186_T369-R1 57
Int12432_284 468 525 0.20854727039581614 NA 100 7373_T296-R1|6899_T326-R1 32
Int12432_284 330 331 0.25205527074888384 NA 100 9580_T283-R1|9518_T316-R1 27
Int12432_284 319 326 0.26792028803325013 NA 100 9721_T130-R1|9100_T524-R1 52
Int12432_284 357 358 0.2793129843084011 NA 100 6906_T170_2-R1|9549_T126_1-R1 53
Int12432_284 327 328 0.6232570095213745 NA 100 9721_T130-R1|9947_T368-R1 3
Int12730_93 110 111 0.1614497895879997 NA 77 9944_T059-R1|9879_T071-R1 28
Int12730_93 109 110 0.47370548192975076 NA 100 1925_T151-R1|9944_T059-R1 29
Int12730_93 110 42 0.7804905659310345 1925_T151-R1 NA NA 1
Int12855_119 136 157 0.14495210202851141 NA 100 9792_T313-R1|5993_T074-R1 57
Int12855_119 136 137 0.28648147992938416 NA 100 9654_T121-R1|9887_T066-R1 21
Int12974_336 373 387 0.1796986489760649 NA 100 9583_T407-R1|9610_T119-R1 6
Int12974_336 423 446 0.19274931229494724 NA 100 7167_T082-R1|9518_T053-R1 61
Int12974_336 372 373 0.1987373713282383 NA 100 10015_T139-R1|9610_T119-R1 20
Int12974_336 447 507 0.2126529226363728 NA 100 9543_T034-R1|10015_T031-R1 56
Int12974_336 370 562 0.2132488640858062 NA 100 7416_T159-R1|9721_T017-R1 57
Int12974_336 425 433 0.21455211068361388 NA 100 9332_T158-R1|10015_T132-R1 14
Int12974_336 425 426 0.21850527099474043 NA 100 7396_T169-R1|7186_T141-R1 8
