Clade parent node branch.length label bootstrap mrca_id N_OverlapEco
Int11409_395_471_L_74_108_R_24 42 43 0.04399927472844635 NA 100 GWHPACDY024624|GWHPACEM024108 0
Int11409_395_471_L_74_108_R_24 43 19 0.0504879075696125 GWHPACDY024624 NA NA 0
Int11409_395_471_L_74_108_R_24 43 44 0.1455225808577899 NA 100 GWHPACEM024108|GWHPACEP022704 0
Int11409_395_471_L_74_80_L_22 34 38 0.020002998899595663 NA 99 W05_GLYSO_06G015893_1_P|GWHPACDZ023624 0
Int11409_395_471_L_74_80_L_22 39 16 0.03884212319346975 GWHPACEF022415 NA NA 0
Int11409_395_471_L_74_80_L_22 39 40 0.03977394467196053 NA 100 GWHPACDZ023624|GWHPACDY024641 0
Int11409_395_471_L_74_80_L_22 32 5 0.0543175896500821 GWHPACEQ022749 NA NA 0
Int11409_395_471_L_74_80_L_22 30 31 0.06059874880337348 NA 33 GWHPACET024440|GWHPACER022334 0
Int11409_395_471_L_74_80_L_22 29 30 0.07096131252389218 NA 100 GWHPACER022334|GWHPACEL023092 0
Int11409_395_471_L_74_80_L_22 28 29 0.17966342399449362 NA 100 GWHPACER022334|GWHPACEN023787 0
Int11409_395_471_L_74_80_R_24 46 19 0.019010578440655464 GWHPACEV022399 NA NA 0
Int11409_395_471_L_74_80_R_24 26 27 0.020414086909582217 NA 100 GWHPACEC022877|GWHPACDY024636 0
Int11409_395_471_L_74_80_R_24 29 30 0.031300189608088815 NA 100 GWHPACEF022409|GWHPACEO024154 0
Int11409_395_471_L_74_80_R_24 29 32 0.03415954563809086 NA 100 GWHPACEB022523|GWHPACEA024527 0
Int11409_395_471_L_74_80_R_24 27 28 0.047716727808335184 NA 100 GWHPACDY024636|GWHPACEF022409 0
Int11409_395_471_L_74_80_R_24 27 22 0.0544341428083032 GWHPACEC022877 NA NA 0
Int11409_395_471_L_74_80_R_24 28 2 0.05467188637344166 GWHPACDY024636 NA NA 0
Int11409_395_471_L_74_80_R_24 28 29 0.07520113594696212 NA 100 GWHPACEF022409|GWHPACEA024527 0


Int11409_395_471_R_144_154_R_45 76 82 0.012889024947618998 NA 100 GWHPACEM024060|GWHPACEP022681 2
Int11409_395_471_R_144_154_R_45 59 61 0.01966949074461341 NA 97 GWHPACEL023045|GWHPACEV022355 7
Int11409_395_471_R_144_154_R_45 60 11 0.019781383769918146 GWHPACET024398 NA NA 1
Int11409_395_471_R_144_154_R_45 60 11 0.019781383769918146 GWHPACET024398 NA NA 1
Int11409_395_471_R_144_154_R_45 60 11 0.019781383769918146 GWHPACET024398 NA NA 1
Int11409_395_471_R_144_154_R_45 60 11 0.019781383769918146 GWHPACET024398 NA NA 1
Int11409_395_471_R_144_154_R_45 79 80 0.020903905557102906 NA 100 GWHPACEM024042|GWHPACES024173 3
